id,shape,price,carat,cut,color,clarity,report,type
10081471,6,43630,4.39,5,2,2,1,2
9828357,2,43670,5.02,2,2,1,1,2
10088933,3,43900,3.09,5,5,4,1,2
9956969,10,44010,3.03,5,3,4,1,2
10041593,6,44020,5.26,3,1,1,3,2
9893612,10,44120,3.01,5,3,6,1,2
10069388,10,44320,3.01,5,5,3,1,2
10038115,7,44430,3.08,5,5,3,1,2
10030884,2,44500,3.01,5,7,4,1,2
10011419,6,44720,3.01,5,4,3,1,2
10083232,10,44750,3.06,5,7,2,1,2
9967658,4,44760,3.0,5,4,5,1,2
9935277,10,45490,3.01,5,3,4,1,2
10088866,10,45610,4.0,5,6,1,1,2
9613708,2,45720,4.1,4,6,3,1,2
9647640,10,46100,4.0,3,3,2,1,2
10090271,6,46180,3.01,5,4,3,1,2
10090334,2,46180,4.0,3,2,6,1,2
9916930,3,46290,3.0,3,6,6,1,2
9998241,6,46320,3.0,4,5,3,1,2
10023000,7,46550,3.01,5,7,2,1,2
10082199,10,46700,2.25,5,6,7,1,2
9938437,6,46740,4.01,2,2,3,1,2
9531883,10,46930,3.01,5,7,2,1,2
9966307,10,47090,3.04,5,4,6,1,2
10045853,10,47120,2.5,5,5,6,1,2
9916752,8,47220,3.08,5,6,5,1,2
10037369,10,47250,2.61,5,6,5,1,2
9978759,7,47250,3.0,5,6,7,1,2
9713223,6,47640,3.51,5,6,3,1,2
10083250,10,47880,4.03,5,3,2,1,2
10023684,10,47890,3.39,5,3,3,1,2
10020975,10,48270,2.61,5,6,6,1,2
9738257,10,48510,2.51,5,5,6,1,2
10019944,3,48800,3.51,5,6,3,1,2
10006301,4,48870,4.01,2,2,5,1,2
9981564,10,48880,4.01,5,3,1,1,2
10054025,10,49290,3.64,5,3,3,1,2
10089350,6,49550,3.01,4,5,3,1,2
5692232,6,49600,3.02,5,4,4,1,2
9984221,10,49730,3.0,5,4,5,1,2
9675099,6,49950,3.15,5,4,4,1,2
9916645,8,49970,3.01,5,7,5,1,2
9859365,10,50610,5.0,3,1,2,1,2
9647693,10,50840,3.0,3,5,4,1,2
9897196,4,50890,3.01,5,5,7,1,2
10052587,10,50940,2.51,5,7,5,1,2
9711316,10,51040,2.92,5,5,5,1,2
9990154,10,51060,3.71,5,4,4,1,2
10026758,1,51080,4.21,2,2,4,1,2
9859612,10,51080,5.32,5,1,1,1,2
9588096,3,51330,2.8,5,7,7,1,2
10087750,10,51520,2.27,5,7,6,1,2
10065145,10,51540,2.01,5,7,6,1,2
10022873,10,51880,3.01,5,5,3,1,2
10079773,6,52290,4.0,5,2,2,1,2
10001450,10,52340,2.0,5,7,8,1,2
3574045,10,52410,3.22,5,4,3,1,2
10022471,10,52420,2.01,5,7,7,1,2
10022956,10,52460,4.0,5,2,5,1,2
9944363,3,52570,3.01,5,5,7,1,2
9376852,10,52600,4.12,5,1,7,1,2
9968997,10,52710,3.05,5,6,6,1,2
10035007,2,52780,4.01,2,7,4,1,2
9494716,1,53030,5.02,5,1,3,1,2
9869551,1,53130,3.02,5,7,5,1,2
9647504,10,53240,3.24,5,3,7,1,2
9626004,10,53290,3.17,5,4,4,1,2
10068559,10,53540,4.01,3,3,3,1,2
9969090,3,53780,4.01,5,3,6,1,2
9261703,7,53800,3.01,4,5,6,1,2
10024388,10,54120,5.01,5,1,1,1,2
10080224,6,54170,3.01,5,4,4,1,2
10024821,3,54500,3.03,5,6,5,1,2
9837457,3,54610,3.69,5,7,7,1,2
10005899,10,54890,2.0,5,7,8,1,2
10005758,9,56350,4.01,2,7,4,1,2
9950719,6,56660,3.01,5,5,6,1,2
9906240,10,57480,3.76,5,3,4,1,2
9954462,10,57750,3.0,4,4,7,1,2
9969251,10,58000,5.02,3,1,4,1,2
10005916,10,58140,2.2,5,7,8,1,2
10020606,10,58920,5.39,4,1,4,3,2
10070684,6,59030,4.61,5,7,2,1,2
9994438,6,60260,3.03,3,7,2,1,2
9971442,10,60350,3.01,5,5,5,1,2
9827875,10,60880,3.08,5,5,5,1,2
9647722,10,61280,3.21,5,4,5,1,2
10048560,2,62180,3.52,4,6,5,1,2
9647496,3,62630,3.51,3,7,5,1,2
9619909,5,62790,3.0,5,7,7,1,2
10025489,10,62850,5.0,5,2,2,1,2
9647499,10,62980,3.01,5,4,7,1,2
10032026,10,63290,5.51,5,1,2,1,2
10090245,6,63590,5.4,2,2,1,1,2
10064359,3,63660,4.19,5,7,3,1,2
9810659,10,64660,5.01,5,6,1,1,2
10035005,3,64800,4.01,3,4,4,1,2
10083193,10,65140,3.04,5,5,4,1,2
9999616,2,65530,4.21,5,7,5,1,2
10064935,10,65660,2.6,5,6,6,1,2
9912533,3,65960,2.91,5,7,8,1,2
10066951,10,66370,4.4,5,2,4,1,2
10081012,7,66450,3.5,5,4,4,1,2
9647506,10,66570,3.03,5,7,4,1,2
10020897,10,66790,2.73,5,7,6,1,2
10077277,1,69100,4.01,5,6,3,1,2
9647736,10,69350,4.0,5,3,3,1,2
10069857,10,69490,5.37,5,2,1,1,2
10006353,4,69660,5.01,2,1,5,1,2
10081157,10,69960,5.01,5,1,2,1,2
9260658,4,70040,3.01,4,7,7,1,2
10029363,2,71690,4.5,4,5,3,1,2
9978242,10,72520,5.03,3,2,3,1,2
10003989,10,72760,3.14,5,4,6,1,2
9966258,10,73150,3.75,5,7,5,1,2
10035011,7,73690,5.01,2,6,2,1,2
10005884,1,74020,4.04,5,7,8,1,2
9968323,1,74150,4.02,5,7,4,1,2
9829619,2,74810,5.03,4,3,2,1,2
10051242,10,75440,3.45,5,4,6,1,2
10081750,10,75730,3.0,5,7,5,1,2
9954289,10,76740,3.7,5,5,5,1,2
10005840,8,76750,5.01,3,2,5,1,2
10090378,2,77020,5.01,2,6,3,1,2
10072381,10,77110,3.51,5,5,4,1,2
10006194,6,77700,4.01,2,5,3,1,2
9935109,10,78280,3.01,5,6,5,1,2
9975186,4,78790,4.2,4,5,3,1,2
9968063,7,79130,3.7,5,7,4,1,2
